date,BTC,LTC,XRP,ETH,BCN,sp500_close,change%,silver_close,silver_rate%,gold_close,gold_rate%
2017-08-25,4371.600098,51.1768,0.217828,331.915009,0.001378,2443.050049,-0.068,17.132,-0.022648183,1297.9,-0.013228921
2017-08-24,4334.680176,50.1856,0.218958,325.610992,0.001418,2438.969971,-0.365,17.046,-0.005019846,1292,-0.004545805
2017-08-23,4151.52002,53.2481,0.246827,317.519012,0.001347,2444.040039,-0.034,17.126,0.004693183,1294.7,0.002089783
2017-08-22,4100.52002,46.7271,0.239286,314.785004,0.001204,2452.51001,0.771,16.982,-0.008408268,1291,-0.002857805
2017-08-21,4001.73999,47.936001,0.191918,321.591003,0.001191,2428.370117,0.118,17.015,0.001943234,1296.7,0.004415182
2017-08-18,4160.620117,47.281399,0.158883,295.589996,0.001195,2425.550049,-0.086,17,-0.000881575,1291.6,-0.003933061
2017-08-17,4331.689941,43.9146,0.157498,301.457001,0.001297,2430.01001,-1.337,17.053,0.003117647,1292.4,0.000619387
2017-08-16,4376.629883,44.151199,0.160431,302.266998,0.00139,2468.110107,-0.021,16.94,-0.0066264,1282.9,-0.007350665
2017-08-15,4181.930176,43.306499,0.161221,289.817993,0.001382,2464.610107,-0.164,16.714,-0.013341204,1279.7,-0.002494349
2017-08-14,4325.129883,45.804501,0.169991,300.096985,0.001317,2465.840088,0.443,17.122,0.024410674,1290.4,0.008361335
2017-08-11,3650.620117,47.0994,0.179307,308.864014,0.001604,2441.320068,0.011,17.07,-0.003037028,1294,0.002789833
2017-08-10,3381.280029,46.499802,0.180399,295.891998,0.001312,2438.209961,-1.102,17.065,-0.000292912,1290.1,-0.00301391
2017-08-09,3342.469971,48.011902,0.182947,296.027008,0.001391,2474.02002,0.352,16.863,-0.011837093,1279.3,-0.008371444
2017-08-08,3419.939941,48.631901,0.192586,296.769012,0.001441,2474.919922,-0.138,16.389,-0.028108877,1262.6,-0.013054014
2017-08-07,3378.939941,45.795502,0.179021,269.179993,0.001437,2480.909912,0.152,16.251,-0.008420282,1264.7,0.001663235
2017-08-04,2895.889893,43.449699,0.173743,223.072998,0.001297,2476.830078,-0.002,16.252,6.15E-05,1264.6,-7.91E-05
2017-08-03,2804.72998,42.8615,0.174612,225.341995,0.001168,2472.159912,-0.156,16.63,0.023258676,1274.4,0.007749486
2017-08-02,2710.669922,42.132198,0.173113,219.951996,0.001223,2477.570068,-0.113,16.733,0.006193626,1278.4,0.003138732
2017-08-01,2718.26001,43.036301,0.177053,226.768997,0.001306,2476.350098,-0.03,16.764,0.001852627,1279.4,0.000782228
2017-07-31,2875.340088,43.022701,0.167386,203.871002,0.001215,2470.300049,-0.228,16.786,0.001312336,1273.4,-0.004689698
2017-07-28,2809.01001,40.614601,0.165937,193.123001,0.001326,2472.100098,0.121,16.695,-0.005421184,1275.3,0.001492068
2017-07-27,2671.780029,42.139801,0.173457,204.317993,0.001303,2475.419922,-0.296,16.573,-0.007307577,1266.5,-0.006900337
2017-07-26,2529.449951,42.229698,0.173822,203.953003,0.001274,2477.830078,-0.086,16.459,-0.006878658,1255.6,-0.008606396
2017-07-25,2576.47998,42.241299,0.178104,206.710007,0.00134,2477.129883,-0.03,16.542,0.005042834,1258.5,0.002309653
2017-07-24,2754.860107,44.405499,0.192002,224.710999,0.001604,2469.909912,-0.086,16.443,-0.005984766,1260.7,0.001748113
2017-07-21,2667.76001,45.763,0.182608,218.304993,0.001383,2472.540039,0.208,16.457,0.000851426,1261,0.000237963
2017-07-20,2817.600098,45.015701,0.188295,227.264999,0.001393,2473.449951,-0.085,16.345,-0.006805615,1245.5,-0.012291832
2017-07-19,2273.429932,40.864399,0.168388,199.703003,0.001296,2473.830078,0.405,16.297,-0.002936678,1242,-0.002810116
2017-07-18,2318.879883,44.302399,0.188718,234.391006,0.001385,2460.610107,0.193,16.268,-0.001779469,1241.9,-8.05E-05
2017-07-17,2228.409912,42.669701,0.177889,193.423996,0.001384,2459.139893,-0.015,16.099,-0.010388493,1233.7,-0.006602786
2017-07-14,2233.340088,42.8027,0.190769,199.662003,0.001495,2459.27002,0.413,15.933,-0.010311199,1227.5,-0.005025533
2017-07-13,2357.899902,46.327801,0.200809,209.733002,0.001577,2447.830078,0.116,15.691,-0.015188602,1217.3,-0.008309572
2017-07-12,2398.840088,48.751202,0.205354,230.774002,0.001733,2443.25,0.308,15.887,0.012491237,1219.1,0.001478682
2017-07-11,2337.790039,45.330799,0.185019,197.404007,0.001066,2425.530029,-0.075,15.745,-0.008938126,1214.7,-0.00360922
2017-07-10,2372.560059,46.576401,0.203165,215.356995,0.001117,2427.429932,0.12,15.629,-0.007367418,1213.2,-0.001234873
2017-07-07,2518.659912,46.5755,0.23948,245.990997,0.001683,2425.179932,0.483,15.425,-0.013052659,1209.7,-0.002884932
2017-07-06,2608.560059,51.130299,0.254641,270.549011,0.002045,2409.75,-0.565,15.983,0.036175041,1223.3,0.011242457
2017-07-05,2601.98999,53.1945,0.256523,268.773987,0.001933,2432.540039,0.072,15.896,-0.005443283,1221.7,-0.001307938
2017-07-03,2564.060059,46.425201,0.259959,282.89801,0.002161,2429.01001,-0.098,16.092,0.012330146,1219.2,-0.002046329
2017-06-30,2480.840088,40.354301,0.26293,294.915985,0.001856,2423.409912,-0.238,16.627,0.033246334,1242.3,0.01894685
2017-06-29,2539.320068,41.0653,0.265421,302.882996,0.002256,2419.699951,-0.929,16.654,0.001623865,1245.8,0.002817355
2017-06-28,2574.790039,42.849499,0.280455,327.927002,0.0023,2440.689941,0.494,16.791,0.008226252,1249.1,0.0026489
2017-06-27,2552.449951,40.5415,0.276306,293.088013,0.002261,2419.379883,-0.696,16.651,-0.0083378,1246.9,-0.001761268
2017-06-26,2478.449951,41.131802,0.277288,272.691986,0.002371,2439.070068,-0.174,16.631,-0.001201129,1246.4,-0.000400994
2017-06-23,2744.909912,47.335499,0.319978,341.739014,0.002807,2438.300049,0.15,16.707,0.004569779,1256.4,0.008023107
